ganancia,ganancia_normalizada,auc,type,semilla,tiempo,cp,ms,mb,md
4531250,6473214.28571429,0.880889283637772,train,599803,19.0217549800873,0,20,1,10
923750,3079166.66666667,0.847657855897908,test,999979,22.59783411026,0,20,1,12
4663750,6662500,0.879698150791097,train,999979,22.59783411026,0,20,1,12
392500,1308333.33333333,0.81616072754196,test,899971,22.7670729160309,0,20,1,12
6360000,9085714.28571429,0.903911128430535,train,899971,22.7670729160309,0,20,1,12
1622500,5408333.33333333,0.871031093184739,test,799949,22.8775429725647,0,20,1,12
5352500,7646428.57142857,0.888317203591617,train,799949,22.8775429725647,0,20,1,12
1672500,5575000,0.89088221163387,test,699863,23.1404349803925,0,20,1,12
4942500,7060714.28571429,0.890356583718035,train,699863,23.1404349803925,0,20,1,12
942500,3141666.66666667,0.851604988345354,test,599803,22.5595438480377,0,20,1,12
